"","iso2c","year","country","unem.total","unem.youth.m","unem.youth","debtservice","debt.gov","GDP.PPP","GDP","easybusiness","FDI.ofGDP","pop","pop.rur","pop.urb","pov.125","infl","labor.part","vul.emp.m","vul.emp","ConflictId","Location","SideA","SideA2nd","SideB","SideBID","SideB2nd","Incompatibility","TerritoryName","IntensityLevel","CumulativeIntensity","TypeOfConflict","StartDate","StartPrec","StartDate2","StartPrec2","EpEnd","EpEndDate","EpEndPrec","GWNoA","GWNoA2nd","GWNoB","GWNoB2nd","GWNoLoc","Region","Version","state","stationary","moving","NA.x.x","hijacked","boarding","fired upon","detained","NA.y.x","small","big","NA","attempted","acutal","NA.x.y","early","day","evening","night","NA.y.y"
"1","AE",2004,"United Arab Emirates",3.09999990463257,6.59999990463257,8.19999980926514,NA,NA,NA,-0.0826805084735298,NA,NA,9.21880536897893,7.04175043861826,9.70735593814691,NA,NA,45.7000007629395,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"United Arab Emirates",1,1,0,1,1,0,0,0,2,0,0,0,2,0,0,1,0,1,0
"2","AL",1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Albania",0,2,0,0,1,0,0,1,0,0,2,0,2,0,0,0,0,0,2
"3","AL",1998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Albania",1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1
"4","AO",1993,"Angola",7.30000019073486,10.1999998092651,12,2.92398211231138,NA,-27.1423375452333,-27.1459861941568,NA,NA,3.30225068517767,2.39838243385689,5.72140715752497,NA,NA,54.5999984741211,NA,NA,"1-131","Angola","Government of Angola",NA,"UNITA","1421",NA,2,NA,2,1,3,"1975-11-11",1,"1975-11-11",1,0,NA,NA,"540",NA,NA,NA,"540","4","4.0-2015","Angola",1,0,2,0,0,0,0,3,0,2,1,0,0,3,1,0,0,2,0
"5","AO",1997,"Angola",6.90000009536743,10.1000003814697,10.6999998092651,22.668227884184,NA,5.03628313737705,4.95226609886635,NA,NA,2.76992342599309,1.77392690070781,5.10299033984452,NA,219.176721172974,54.0999984741211,NA,NA,"1-192","Angola","Government of Angola",NA,"FLEC-FAC, FLEC-R","1393, 1392",NA,1,"Cabinda",1,0,3,"1991-06-03",4,"1996-05-22",1,0,NA,NA,"540",NA,NA,NA,"540","4","4.0-2015","Angola",1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1
"6","AO",1999,"Angola",6.90000009536743,10.1000003814697,10.8000001907349,84.3576453659516,NA,0.387397222130148,0.310782328491484,NA,NA,2.87812445149465,1.8339404461671,5.16650416037277,NA,248.195902412868,54,NA,NA,"1-131","Angola","Government of Angola","Government of Namibia","UNITA","1421",NA,2,NA,2,1,4,"1975-11-11",1,"1998-05-02",1,0,NA,NA,"540","565",NA,NA,"540","4","4.0-2015","Angola",2,1,0,0,2,0,0,1,0,2,1,1,2,0,0,0,0,0,3
"7","AO",2000,"Angola",6.90000009536743,10.1000003814697,10.8000001907349,41.4103138867134,NA,-0.056145763706672,-0.111777375417077,NA,NA,3.07944386258132,2.00943672793021,5.3474954015068,32.28,324.996871601321,54.0999984741211,NA,NA,"1-131","Angola","Government of Angola","Government of Namibia","UNITA","1421",NA,2,NA,2,1,4,"1975-11-11",1,"1998-05-02",1,0,NA,NA,"540","565",NA,NA,"540","4","4.0-2015","Angola",2,0,1,0,3,0,0,0,0,1,2,0,3,0,0,0,0,0,3
"8","AO",2001,"Angola",6.90000009536743,10.1000003814697,10.8000001907349,49.447848241324,NA,-0.168950876726859,0.844751194579402,NA,NA,3.29310928103361,2.20256595540353,5.5289347160496,NA,152.561022469299,54,NA,NA,"1-131","Angola","Government of Angola","Government of Namibia","UNITA","1421",NA,2,NA,2,1,4,"1975-11-11",1,"1998-05-02",1,0,NA,NA,"540","565",NA,NA,"540","4","4.0-2015","Angola",0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0
"9","AO",2003,"Angola",6.90000009536743,10.1000003814697,10.6999998092651,11.9437709640327,NA,-0.238981014174589,NA,NA,NA,3.54719904207811,2.4061490035777,5.73580136886956,NA,98.2237177041649,53.7999992370605,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Angola",3,0,0,0,3,0,0,0,0,1,2,0,3,0,0,0,0,2,1
"10","AO",2006,"Angola",6.80000019073486,10,10.1000003814697,10.1143045785514,NA,17.0346526923809,NA,NA,-0.521417118599709,3.4486214865201,2.23021652834723,5.56329685081474,NA,13.3032533614052,52.9000015258789,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Angola",4,0,0,0,4,0,0,0,0,3,1,0,4,0,1,0,1,2,0
