"","state","year","stationary","moving","NA.x.x","hijacked","boarding","fired upon","detained","NA.y.x","small","big","NA","attempted","acutal","NA.x.y","early","day","evening","night","NA.y.y"
"1","Albania",1997,0,2,0,0,1,0,0,1,0,0,2,0,2,0,0,0,0,0,2
"2","Albania",1998,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1
"3","Algeria",1993,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1
"4","Algeria",1995,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1
"5","Algeria",1998,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1
"6","Algeria",2001,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1
"7","Algeria",2012,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0
"8","Angola",1993,1,0,2,0,0,0,0,3,0,2,1,0,0,3,1,0,0,2,0
"9","Angola",1997,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1
"10","Angola",1999,2,1,0,0,2,0,0,1,0,2,1,1,2,0,0,0,0,0,3
"11","Angola",2000,2,0,1,0,3,0,0,0,0,1,2,0,3,0,0,0,0,0,3
"12","Angola",2001,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0
"13","Angola",2003,3,0,0,0,3,0,0,0,0,1,2,0,3,0,0,0,0,2,1
"14","Angola",2006,4,0,0,0,4,0,0,0,0,3,1,0,4,0,1,0,1,2,0
"15","Angola",2007,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0
"16","Angola",2008,2,0,0,0,2,0,0,0,0,2,0,0,2,0,1,0,0,1,0
"17","Angola",2011,2,1,0,0,2,0,0,1,0,1,2,1,2,0,0,0,1,2,0
"18","Angola",2012,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0
"19","Angola",2014,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
"20","Argentina",2006,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0
"21","Australia",2003,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0
"22","Bangladesh",1993,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0
"23","Bangladesh",1994,0,0,2,0,1,0,0,1,0,2,0,1,1,0,0,1,0,1,0
"24","Bangladesh",1995,1,2,0,1,1,0,0,1,1,1,1,1,2,0,0,0,0,1,2
"25","Bangladesh",1996,4,0,0,0,4,0,0,0,0,3,1,0,4,0,0,0,0,1,3
"26","Bangladesh",1997,2,0,5,0,6,0,0,1,0,5,2,1,6,0,0,0,0,0,7
"27","Bangladesh",1998,10,0,0,0,8,0,0,2,1,8,1,2,8,0,0,0,0,0,10
